"event_name","event_date","rsvp_yes_count"
" Data Virtualization with PolyBase by Kevin Feasel",2019-08-13,26
" Empowered by Alteryx: A data analytics journey from the lab bench to healthcare",2019-09-24,14
" New Features and New Speed in SQL Server 2016 (and 2017!) Always On AGs",2018-09-18,20
"**SPECIAL NIGHT** - SQL Server R Services In SQL 2016",2016-12-08,34
"24 Hours Of PASS",2016-09-07,6
"A Beginner's Guide To Plan Guides",2018-01-16,27
"A behind the scenes look at AI, ML, and DL for the Data Professional",2020-01-28,60
"A Brief Look at ML.Net",2019-05-28,24
"A Deep Dive into Persistent Memory Features in SQL Server 2019 by Brian Carrig",2019-11-12,22
"Adaptive Query Processing with Azure SQL DB and SQL Server 2017",2017-08-08,38
"Advanced DBA:  Azure Managed Instances",2018-10-09,23
"Advanced DBA:  The Optimizer Secrets Of Trace Flag 86xx",2017-07-10,37
"Advanced DBA: Columnstore Indexes: What are we waiting for?",2018-11-13,20
"Advanced DBA: Ensuring Plan Stability with Query Store and Automatic Tuning",2017-09-12,30
"Advanced Plan Explorer Usage for Tuning Execution Plans by Andy Yun",2020-09-16,43
"Advanced SQL Server troubleshooting with SQLCallStackResolver",2019-02-12,23
"All Things SQL In the Microsoft Cloud by David Klee",2020-03-10,33
"Always Encrypted",2018-10-16,17
"An Introduction to GitHub for Data Professionals",2019-09-17,37
"Applications of Hashbytes and Compress Functions",2019-03-19,29
"Approaching Zero:  Minimizing Downtime During Deployments",2019-07-16,25
"August Triangle SQL Server User Group Meeting",2012-08-22,2
"Automating Power BI Deployments",2019-02-19,24
"AWS vs. Azure:  What's the Difference for a DBA?",2020-04-07,45
"Azure Data Studio is not Replacing SSMS",2019-09-10,26
"Azure Synapse Analytics:  A Data Lakehouse",2020-08-11,40
"Beyond The Install:  Monitoring Availability Groups",2017-09-19,24
"Bonus Stream:  Becoming Ever More Intimate with your Indexes by Jason Brimhall",2020-04-08,52
"Build your brand with technical writing",2020-08-18,34
"Building a Custom SQL Server on Containers Image for Deployment",2020-01-14,40
"Chaos Engineering for SQL Server",2019-12-10,25
"Characteristics of a Great Relational Database By Louis Davidson",2019-12-17,28
"Classification With Naive Bayes",2018-08-28,24
"Consistent Deployments / Team Development",2018-08-21,31
"Data Architecture Day 2020",2020-05-16,84
"Data Science Meetup:  An Introduction To Azure Machine Learning",2017-04-25,40
"Data Science Meetup:  Data Cleansing With SQL And R",2017-02-28,59
"Data Science Meetup:  Getting a Handle on Distributions",2017-07-25,28
"Data Science Meetup:  Hackathon",2017-06-27,17
"Data Science Meetup:  Head to the Cloud",2017-03-28,40
"Data Science Meetup:  Introduction",2017-01-24,57
"Data Science Meetup:  Recommender Systems",2017-05-23,33
"Data Science Meetup:  Using ggplot2",2018-05-22,13
"Data Science:  $ML",2018-04-24,37
"Data Science:  An Introduction to k-nearest neighbor (k-NN)",2017-08-29,28
"Data Science:  Applying Data Science fundamentals to Stock Market Data",2017-10-24,44
"Data Science:  Applying Forensic Accounting Techniques Using SQL And R",2017-09-26,37
"Data Science:  Building A Neural Network With Keras In R",2018-02-27,17
"Data Science:  ggplot2 And quasiquotation",2018-06-26,11
"Data Science:  Grokking the Grammar of Graphics",2018-07-31,22
"Data Science:  Keras and TensorFlow",2019-06-25,20
"Data Science:  Linear Regression",2018-09-25,22
"Data Science:  Sequential Data Modeling With LSTM",2018-01-30,38
"Data Science:  SQL Server Machine Learning Services in Production",2019-03-26,29
