name,local_date,yes_rsvp_count,description
Workshop: Submitting R Jobs to the Cloud,6/20/2013,6,<p>Ian Cook with host a workshop on submitting R jobs to the cloud. Bring your laptops!</p> 
Lunch! Roundtable on Coursera,7/5/2013,16,"<p>I know it's the day after the fourth of July, but it's also the first Friday of the month! Coursera is starting a new round of classes. Let's get together to discuss our interests, share past experiences with the courses, and why everyone's suddenly so MOOC-crazy.</p> <p> </p> <p>See you there!</p> "
Assessment and Comparison of Predictive Models/Sketching and Streaming at Twitte,7/18/2013,42,"<p>Added feature! This month's Meetup is a double-header!</p> <p>P. Oscar Boykin (@posco) will present <b>Sketching and Streaming</b>: building large-scale, real-time relevance features at Twitter. We will discuss approximation algorithms for fast, cheap and accurate aggregation, which are used in production at Twitter. We will also briefly cover the open source software we released to do this: scalding, algebird and storm.</p> <p>Dan Kelly of SAS will present <b>Assessment and Comparison of Predictive Models</b>: There is more than one way to predict whether your customers will buy a product, if you should lend money to a certain person, or whether your fantasy football team will win the next game. Dan Kelly will show how to select between different models and how to figure out if you have a winner.</p> <p>This month's event space has been graciously provided by the Institute for Advanced Analytics. It should be a great meeting, and we look forward to seeing you there!</p> "
Lunch! Extracurricular data activities.,8/2/2013,10,"<p>I've gotten a lot of questions recently about how someone can build up a resume to transition into analytics, without going to a traditional academic program. Do you think it's possible to build up skills in your spare time to compete in the job market? What kind of data-related extra curricular activities are you involved in?</p> "
Thursday event: Tool Throwdown!,8/15/2013,26,"<p>Tool Throwdown: RTA founders demonstrate their predictive modeling skills using their favorite statistics and programming tools. On display will be SAS, R, JMP, and maybe more!<br/>When: August 15, 6:30pm<br/>Where: Saladelia </p> <p>We may have a couple of slots open for other presenters. If you've used the Titanic data set in the Kaggle competition and are willing to share your findings with us and the world, please get in touch.</p> "
Analyst Lunch in RTP,9/6/2013,3,<p>What's on your mind? What kinds of events would you guys like to see the group try? Interested in a Kaggle team? More informal networking? Want to host a Game Night and try to use your analytic prowess to beat us at Ticket to Ride? Let's get together and chat.</p> 
Big Data Analytics and CyberSecurity,9/19/2013,23,"<p>Map:<br/><a href=""https://www.google.com/maps/preview#!q=7200-11+Kit+Creek+Rd+Morrisville%2C+NC"" class=""linkified"">https://www.google.com/maps/preview#!q=7200-11+Kit+Creek+Rd+Morrisville%2C+NC</a></p> <p>No food at this event. After party instead at Trali Irish Pub's NEW LOCATION (see special instructions).</p> <p>Description:<br/>Big data is expected to play a crucial role in the cybersecurity landscape. Learn how the security industry is using big data analytics and integrating Artificial Intelligence techniques (statistical analysis, autonomic/agent-based computing, ensemble classification, game-theoretic self-optimization) within the framework of distributed, intelligent, and forward-thinking security architecture. For example, Cisco is using these techniques to create solutions in the domain of Network Behavior Analysis (NBA), in order fight against modern sophisticated attacks in today's cyberspace, including Advanced Persistent Threats (APT), exploit kits, zero-day attacks, molymorphic malware and trojans inside the client's network.</p> <p>**Special Instructions:<br/>Cisco is security conscious (Duh). Members will need to be escorted to the conference room from the lobby. Please inform the security desk that you are there for Research Triangle Analysts and that Omar Santos is the Cisco organizer.</p> <p>Instead of having food at the event, we will gather at Trali Irish Pub's NEW LOCATION in Morrisville afterwards.</p> <p><a href=""http://www.traliirishpub.com/new-location"" class=""linkified"">http://www.traliirishpub.com/new-location</a></p> <p>Those of you who joined us for the first-ever RTA event may remember the Trali at Brier Creek fondly (or not). Let's check out their new sister location!</p> <p>====WEBEX INFO ====</p> <p>Meeting Number: 209687598<br/>Meeting Password: An4lystZRTP!</p> <p>-------------------------------------------------------<br/>To join this meeting (Now from mobile devices!)<br/>-------------------------------------------------------<br/>1. Go to <a href=""https://cisco.webex.com/cisco/j.php?ED=236389812&amp;UID=0&amp;PW=NMjkyN2I0ZjE5&amp;RT=MiMxMQ%3D%3D"" class=""linkified"">https://cisco.webex.com/cisco/j.php?ED=236389812&amp;UID=0&amp;PW=NMjkyN2I0ZjE5&amp;RT=MiMxMQ%3D%3D</a></p> <p>2. Enter the meeting password: An4lystZRTP!<br/>3. Click 'Join Now'.<br/>4. Follow the instructions that appear on your screen.</p> <p>----------------------------------------------------------------<br/>ALERT:Toll-Free Dial Restrictions for (408) and (919) Area Codes<br/>----------------------------------------------------------------</p> <p>The affected toll free numbers are: (866) 432-9903 for the San Jose/Milpitas area and (866) 349-3520 for the RTP area.</p> <p>Please dial the local access number for your area from the list below:<br/>- San Jose/Milpitas (408) area: 525-6800<br/>- RTP (919) area: 392-3330</p> "
Big Data Science with Dahl Winters,10/17/2013,42,"<p>In this whirlwind hour Dahl Winters will attempt to blaze a trail through the wilderness that is big data science.  Given a mountain of unstructured data and the jungle of options in the Hadoop ecosystem, it can be difficult to know which tools to use for which investigations.  We will take a guided tour of the most common Hadoop use cases, peer into NoSQL and graph databases, march over to machine learning, avoid sinking into deep learning, and cover some of the classification and clustering algorithms I've worked with in my big data explorations.  If you can survive this hour unscathed, you will be that much more prepared to tackle your own big data mountain.</p> "
Lunch!,11/1/2013,12,<p>November is RTA planning month! Join us for a lunchtime roundtable on where the analytics field is heading and what we should do next year. </p> 
Plan Next Year!,11/21/2013,13,"<p>This has been a great year for RTA. We now have 100 members on Meetup, and we've had some amazing speakers and guests. Help us plan to make the group even bigger and better next year. </p> <p>Whether you plan to attend or not, please take the survey: </p> <p><a href=""http://www.surveymonkey.com/s/DDD7C96""><a href=""http://www.surveymonkey.com/s/DDD7C96"" class=""linkified"">http://www.surveymonkey.com/s/DDD7C96</a></a></p> <p>To let us know what you want to see/do next year! </p> "
Intro to Scikit-Learn with Tim Hopper,1/16/2014,38,"<p>Abstract: Scikit-learn is an actively developed Python package providing an implementation of many machine learning algorithms (e.g. SVM, kNN, linear models, HMM, k-Means, spectral clustering). However, the benefits of Scikit-learn goes well beyond carefully implemented learning algorithms. Being built in Python, it allows easy integration with countless other Python modules for tasks such as plotting, data munging, and application development. Its consistent API across algorithms allows for rapid experimentation with multiple learning methods. Also, Scikit-learn is well documented and provides lots of examples.</p> <p>Instead of discussing particular machine learning algorithms provided by the package, I will focus on Scikit-learn and Python as a toolkit for solving data problems from start to finish. I will emphasize the Pipeline tool which allows the user to chain together all the steps of a machine learning pipeline including preprocessing, dimensionality reduction, feature selection, and model fitting.</p> "
Lunch! Starting a non-profit organization,2/7/2014,10,"<p>The first Friday of the month is coming up. During our lunch, we will give an overview of how to create a not-for-profit organization and other items that need to be taken care of when doing so. We would appreciate anyone willing to share past experience.</p> "
